=== 4-Stage Progressive Fusion Training Log ===
Epoch 070 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000205 | Gt-LR: 0.000000] -> Loss: 0.8596 | Train: 99.61% | ★Test: 43.38% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 071 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000196 | Gt-LR: 0.000000] -> Loss: 0.8517 | Train: 99.72% | ★Test: 40.62% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 072 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000187 | Gt-LR: 0.000000] -> Loss: 0.8280 | Train: 100.00% | ★Test: 45.22% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 073 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000178 | Gt-LR: 0.000000] -> Loss: 0.8184 | Train: 100.00% | ★Test: 41.91% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 074 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000169 | Gt-LR: 0.000000] -> Loss: 0.8050 | Train: 100.00% | ★Test: 44.49% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 075 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000159 | Gt-LR: 0.000000] -> Loss: 0.7946 | Train: 100.00% | ★Test: 43.93% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 076 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000150 | Gt-LR: 0.000000] -> Loss: 0.7857 | Train: 100.00% | ★Test: 45.04% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 077 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000141 | Gt-LR: 0.000000] -> Loss: 0.7787 | Train: 100.00% | ★Test: 46.51% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 078 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000131 | Gt-LR: 0.000000] -> Loss: 0.7719 | Train: 100.00% | ★Test: 45.40% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 079 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000122 | Gt-LR: 0.000000] -> Loss: 0.7668 | Train: 100.00% | ★Test: 45.96% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 080 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000113 | Gt-LR: 0.000000] -> Loss: 0.7635 | Train: 100.00% | ★Test: 44.49% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 081 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000104 | Gt-LR: 0.000000] -> Loss: 0.7582 | Train: 100.00% | ★Test: 44.85% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 082 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000095 | Gt-LR: 0.000000] -> Loss: 0.7537 | Train: 100.00% | ★Test: 46.88% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 083 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000086 | Gt-LR: 0.000000] -> Loss: 0.7520 | Train: 100.00% | ★Test: 45.22% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 084 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000078 | Gt-LR: 0.000000] -> Loss: 0.7460 | Train: 100.00% | ★Test: 47.06% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 085 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000070 | Gt-LR: 0.000000] -> Loss: 0.7444 | Train: 100.00% | ★Test: 47.06% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 086 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000062 | Gt-LR: 0.000000] -> Loss: 0.7413 | Train: 100.00% | ★Test: 46.51% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 087 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000054 | Gt-LR: 0.000000] -> Loss: 0.7406 | Train: 100.00% | ★Test: 47.79% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 088 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000047 | Gt-LR: 0.000000] -> Loss: 0.7411 | Train: 100.00% | ★Test: 45.04% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 089 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000041 | Gt-LR: 0.000000] -> Loss: 0.7361 | Train: 100.00% | ★Test: 46.69% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 090 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000034 | Gt-LR: 0.000000] -> Loss: 0.7372 | Train: 100.00% | ★Test: 46.88% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 091 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000029 | Gt-LR: 0.000000] -> Loss: 0.7355 | Train: 100.00% | ★Test: 47.61% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 092 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000023 | Gt-LR: 0.000000] -> Loss: 0.7336 | Train: 100.00% | ★Test: 46.88% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 093 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000019 | Gt-LR: 0.000000] -> Loss: 0.7323 | Train: 100.00% | ★Test: 47.24% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 094 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000014 | Gt-LR: 0.000000] -> Loss: 0.7329 | Train: 100.00% | ★Test: 46.69% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 095 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000011 | Gt-LR: 0.000000] -> Loss: 0.7311 | Train: 100.00% | ★Test: 47.61% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 096 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000007 | Gt-LR: 0.000000] -> Loss: 0.7311 | Train: 100.00% | ★Test: 46.88% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 097 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000005 | Gt-LR: 0.000000] -> Loss: 0.7302 | Train: 100.00% | ★Test: 46.14% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 098 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000003 | Gt-LR: 0.000000] -> Loss: 0.7298 | Train: 100.00% | ★Test: 47.24% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 099 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000001 | Gt-LR: 0.000000] -> Loss: 0.7288 | Train: 100.00% | ★Test: 47.06% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 100 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7299 | Train: 100.00% | ★Test: 47.24% | [G-Gate: 0.000 / L-Gate: 1.000]
Epoch 101 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.005000] -> Loss: 0.7089 | Train: 100.00% | ★Test: 76.84% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 102 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.004995] -> Loss: 0.7086 | Train: 100.00% | ★Test: 77.02% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 103 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.004980] -> Loss: 0.7089 | Train: 100.00% | ★Test: 76.10% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 104 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.004956] -> Loss: 0.7092 | Train: 100.00% | ★Test: 76.29% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 105 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.004921] -> Loss: 0.7091 | Train: 100.00% | ★Test: 76.47% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 106 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.004878] -> Loss: 0.7092 | Train: 100.00% | ★Test: 76.84% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 107 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.004824] -> Loss: 0.7089 | Train: 100.00% | ★Test: 77.21% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 108 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.004762] -> Loss: 0.7090 | Train: 100.00% | ★Test: 76.47% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 109 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.004691] -> Loss: 0.7089 | Train: 100.00% | ★Test: 76.47% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 110 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.004611] -> Loss: 0.7088 | Train: 100.00% | ★Test: 77.21% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 111 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.004523] -> Loss: 0.7090 | Train: 100.00% | ★Test: 77.02% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 112 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.004426] -> Loss: 0.7089 | Train: 100.00% | ★Test: 76.47% | [G-Gate: 1.000 / L-Gate: 0.000]
Epoch 113 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.004322] -> Loss: 0.7090 | Train: 100.00% | ★Test: 76.84% | [G-Gate: 1.000 / L-Gate: 0.000]
