=== 3-Stage Cascaded Reset Optimization Pipeline ===
Epoch 136 [STAGE-3 (All-Synch) | LR: 0.000062] -> Loss: 0.7053 | Train: 100.00% | ★Test: 77.76% | [G-Gate: 0.523 / L-Gate: 0.477]
Epoch 137 [STAGE-3 (All-Synch) | LR: 0.000054] -> Loss: 0.7054 | Train: 100.00% | ★Test: 77.94% | [G-Gate: 0.523 / L-Gate: 0.477]
Epoch 138 [STAGE-3 (All-Synch) | LR: 0.000047] -> Loss: 0.7053 | Train: 100.00% | ★Test: 77.57% | [G-Gate: 0.524 / L-Gate: 0.476]
Epoch 139 [STAGE-3 (All-Synch) | LR: 0.000041] -> Loss: 0.7050 | Train: 100.00% | ★Test: 77.21% | [G-Gate: 0.524 / L-Gate: 0.476]
Epoch 140 [STAGE-3 (All-Synch) | LR: 0.000034] -> Loss: 0.7053 | Train: 100.00% | ★Test: 77.76% | [G-Gate: 0.524 / L-Gate: 0.476]
Epoch 141 [STAGE-3 (All-Synch) | LR: 0.000029] -> Loss: 0.7049 | Train: 100.00% | ★Test: 77.94% | [G-Gate: 0.524 / L-Gate: 0.476]
Epoch 142 [STAGE-3 (All-Synch) | LR: 0.000023] -> Loss: 0.7048 | Train: 100.00% | ★Test: 77.94% | [G-Gate: 0.524 / L-Gate: 0.476]
Epoch 143 [STAGE-3 (All-Synch) | LR: 0.000019] -> Loss: 0.7047 | Train: 100.00% | ★Test: 77.21% | [G-Gate: 0.525 / L-Gate: 0.475]
Epoch 144 [STAGE-3 (All-Synch) | LR: 0.000014] -> Loss: 0.7049 | Train: 100.00% | ★Test: 77.39% | [G-Gate: 0.525 / L-Gate: 0.475]
Epoch 145 [STAGE-3 (All-Synch) | LR: 0.000011] -> Loss: 0.7045 | Train: 100.00% | ★Test: 77.57% | [G-Gate: 0.525 / L-Gate: 0.475]
Epoch 146 [STAGE-3 (All-Synch) | LR: 0.000007] -> Loss: 0.7046 | Train: 100.00% | ★Test: 77.57% | [G-Gate: 0.525 / L-Gate: 0.475]
Epoch 147 [STAGE-3 (All-Synch) | LR: 0.000005] -> Loss: 0.7046 | Train: 100.00% | ★Test: 77.21% | [G-Gate: 0.525 / L-Gate: 0.475]
Epoch 148 [STAGE-3 (All-Synch) | LR: 0.000003] -> Loss: 0.7047 | Train: 100.00% | ★Test: 77.57% | [G-Gate: 0.525 / L-Gate: 0.475]
Epoch 149 [STAGE-3 (All-Synch) | LR: 0.000001] -> Loss: 0.7047 | Train: 100.00% | ★Test: 78.31% | [G-Gate: 0.525 / L-Gate: 0.475]
Epoch 150 [STAGE-3 (All-Synch) | LR: 0.000000] -> Loss: 0.7046 | Train: 100.00% | ★Test: 77.76% | [G-Gate: 0.525 / L-Gate: 0.475]
