=== Class-Wise Adaptive Fusion Training Log (3-Stage with ASAM) ===
Epoch 095 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000011 | Gt-LR: 0.000000] -> Loss: 0.7332 | Train: 100.00% | ★Test: 45.04% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 096 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000007 | Gt-LR: 0.000000] -> Loss: 0.7326 | Train: 100.00% | ★Test: 44.12% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 097 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000005 | Gt-LR: 0.000000] -> Loss: 0.7324 | Train: 100.00% | ★Test: 44.12% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 098 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000003 | Gt-LR: 0.000000] -> Loss: 0.7317 | Train: 100.00% | ★Test: 44.49% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 099 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000001 | Gt-LR: 0.000000] -> Loss: 0.7308 | Train: 100.00% | ★Test: 45.04% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]
Epoch 100 [STAGE-2 (Local-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000000] -> Loss: 0.7307 | Train: 100.00% | ★Test: 45.40% | [G-Gate_Avg: 0.000 / L-Gate_Avg: 1.000]

🔄 [Stage-2 Transition] Stage-2の最高精度重み (47.43%) をロードしてStage-3へ移行します。

Epoch 101 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.001000] -> Loss: 0.7284 | Train: 100.00% | ★Test: 77.94% | [G-Gate_Avg: 0.884 / L-Gate_Avg: 0.116]
Epoch 102 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000999] -> Loss: 0.7268 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.894 / L-Gate_Avg: 0.106]
Epoch 103 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000996] -> Loss: 0.7259 | Train: 100.00% | ★Test: 78.31% | [G-Gate_Avg: 0.896 / L-Gate_Avg: 0.104]
Epoch 104 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000991] -> Loss: 0.7256 | Train: 100.00% | ★Test: 78.31% | [G-Gate_Avg: 0.880 / L-Gate_Avg: 0.120]
Epoch 105 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000984] -> Loss: 0.7248 | Train: 100.00% | ★Test: 77.76% | [G-Gate_Avg: 0.842 / L-Gate_Avg: 0.158]
Epoch 106 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000976] -> Loss: 0.7245 | Train: 100.00% | ★Test: 77.76% | [G-Gate_Avg: 0.820 / L-Gate_Avg: 0.180]
Epoch 107 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000965] -> Loss: 0.7241 | Train: 100.00% | ★Test: 77.94% | [G-Gate_Avg: 0.827 / L-Gate_Avg: 0.173]
Epoch 108 [STAGE-3 (Gating-Train) | G-LR: 0.000000 | L-LR: 0.000000 | Gt-LR: 0.000952] -> Loss: 0.7249 | Train: 100.00% | ★Test: 76.84% | [G-Gate_Avg: 0.839 / L-Gate_Avg: 0.161]
