=== THUE-ACT-50 CHL (2-Stage Global-First Sequential Training) ===
===================================================================
Epoch 088/100 [PHASE-2 (Fused) | Bb-LR: 0.000012 / Gt-LR: 0.00041] -> Loss: 0.7045 | Train Top-1: 100.00% | ★Test Top-1: 75.74% (Top-5: 95.22%) | [G-Gate: 0.766 / L-Gate: 0.234]
Epoch 089/100 [PHASE-2 (Fused) | Bb-LR: 0.000011 / Gt-LR: 0.00036] -> Loss: 0.7044 | Train Top-1: 100.00% | ★Test Top-1: 74.45% (Top-5: 95.59%) | [G-Gate: 0.766 / L-Gate: 0.234]
Epoch 090/100 [PHASE-2 (Fused) | Bb-LR: 0.000009 / Gt-LR: 0.00033] -> Loss: 0.7044 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 95.22%) | [G-Gate: 0.767 / L-Gate: 0.233]
Epoch 091/100 [PHASE-2 (Fused) | Bb-LR: 0.000007 / Gt-LR: 0.00030] -> Loss: 0.7043 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 95.40%) | [G-Gate: 0.767 / L-Gate: 0.233]
Epoch 092/100 [PHASE-2 (Fused) | Bb-LR: 0.000006 / Gt-LR: 0.00027] -> Loss: 0.7043 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 95.77%) | [G-Gate: 0.767 / L-Gate: 0.233]
Epoch 093/100 [PHASE-2 (Fused) | Bb-LR: 0.000005 / Gt-LR: 0.00024] -> Loss: 0.7043 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 95.40%) | [G-Gate: 0.768 / L-Gate: 0.232]
Epoch 094/100 [PHASE-2 (Fused) | Bb-LR: 0.000004 / Gt-LR: 0.00022] -> Loss: 0.7042 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 95.22%) | [G-Gate: 0.767 / L-Gate: 0.233]
Epoch 095/100 [PHASE-2 (Fused) | Bb-LR: 0.000003 / Gt-LR: 0.00019] -> Loss: 0.7043 | Train Top-1: 100.00% | ★Test Top-1: 75.37% (Top-5: 95.40%) | [G-Gate: 0.768 / L-Gate: 0.232]
Epoch 096/100 [PHASE-2 (Fused) | Bb-LR: 0.000002 / Gt-LR: 0.00017] -> Loss: 0.7042 | Train Top-1: 100.00% | ★Test Top-1: 74.63% (Top-5: 95.77%) | [G-Gate: 0.768 / L-Gate: 0.232]
Epoch 097/100 [PHASE-2 (Fused) | Bb-LR: 0.000001 / Gt-LR: 0.00016] -> Loss: 0.7042 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 95.59%) | [G-Gate: 0.768 / L-Gate: 0.232]
Epoch 098/100 [PHASE-2 (Fused) | Bb-LR: 0.000001 / Gt-LR: 0.00014] -> Loss: 0.7042 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 95.22%) | [G-Gate: 0.768 / L-Gate: 0.232]
Epoch 099/100 [PHASE-2 (Fused) | Bb-LR: 0.000000 / Gt-LR: 0.00013] -> Loss: 0.7042 | Train Top-1: 100.00% | ★Test Top-1: 74.82% (Top-5: 95.22%) | [G-Gate: 0.768 / L-Gate: 0.232]
Epoch 100/100 [PHASE-2 (Fused) | Bb-LR: 0.000000 / Gt-LR: 0.00011] -> Loss: 0.7041 | Train Top-1: 100.00% | ★Test Top-1: 75.00% (Top-5: 95.40%) | [G-Gate: 0.768 / L-Gate: 0.232]
